number,value,datetime_start,datetime_complete,duration,params_H_cycles,params_H_layers,params_L_cycles,params_L_layers,params_d_mem,params_hidden_size,params_m_loc,params_top_k,state
0,inf,2025-08-24 17:14:31.927094,2025-08-24 17:14:48.290349,0 days 00:00:16.363255,4,3,2,4,101,512,100,4,COMPLETE
1,inf,2025-08-24 17:21:03.726984,2025-08-24 17:21:15.970751,0 days 00:00:12.243767,4,1,11,4,187,512,211,8,COMPLETE
